babaababbbabab abbbbabbababbbaaabbbbabbbbb aababaababbabababb bbbbbabaabbbabbaaababbbb abb baaaaaaaaaabbbba 
abcabcabcabcabcabcabcac baaaaaaaaaaaaaabbbbbba abcabcabcabcabcabcabcabcabcabca bbbbcbabaccbbb bbbcbcbcbababcbbcb aababaababbabababaabb 
cccccccccccccccccccccaacca abcabcabcabcabcabcabab ccaacca ba abaaabbbbaaaababbababb abcabcabcabcabcabcabacad 
bbaaabbaaabbaaa aaaaaaaabbbbaaaaaba aaaaaaaaaaaaaaaaaaaaaaaaaa bbababababbabbbbbab aaaaaaaaaaaaccbbbcaabac baabbbbbbb 
ababbbaaaaaaababbbaababaaaabab ad acadc ababababababaa ca abbba 
abbaabbabaabbabaaaabbaaaab babbbabaabbabaabbbababbaaaa abcabcabcabcabcabcabcabcadadaa aaaaaaaaabc bbbbbbbbbbbbbbbbbbbbbbbbb aaaaaaaaaaaaaaaaaaaaaaa 
bbbbbbbbbbbbb aabbaba  babababaaaababbabababaabb baaaaaaabbbbbb baaabbbbbbbbaaaaabbba 
ababababababababababababababa abbbbbbb bbababbbbbbbbbbbbb abcabcabcacacabac bababababababababababa bbaaabbabbbbabbaba 
aabbbbbbbbbbbbbbbbbbbbaab ababababababababababababa abababababababababa ccccccccccc bbabbaaabbabb cccccccccacaaaccacccaacacbab 
abababababababababababababab abbbbaabab aabbbba abababababab bbaaabbabaaa cccccccbcccaaaabcacbcbca 
baaababaaa abcabcabcabcabcabcababacabac ababbbbbbbaaaaaaababbbaabb ababbabababababababaababbbbaba abbbbbbbbbbbbbbb bbabbaaaaabbaaabbabbabba 
aaaaaaaaaaaaaaaaaaaaaaaaaaa aabbaaabbabbabbaaabbaaaaabba abbbbbbbbbba ababababababababba aabbabbaaaaa aabababababababababababababa 
ababababababababababa aaaabbbbabbbbbbaba abcabadadadadaa bbbbbbbbbbbbbbbbbbbbbbbbbbbbb abcabcabcabcabcabcabcabcabca abbbbbbbbbbbaa 
bbbba ababaa aaaaaabaaaaaaaaaaaaaaaaaaaaaa abbbbbbbbbbbbbbbbbbbbbbbbbbb aabababababababbbbba babaaaabbb 
abab abbbbbbbbbbababbaababaabab aaaaaaaaaaabbabbabbababab bbabbaba aaaaaaaaaaaaaaa abcabcabcabcabacacabacacab 
baaabbbbbbbbbbbbbbbbba ababababab baaabbbbabbbabababaababaaaba ababa ababaaabaababaaaaaabbbababbaa cbbca 
aababababab bbbbabbaaaabaababbabaabbabaa bababababab bbbbbbbbbbbbbbbbbbbbbbbbbbbba bbbbbbbbbbbbbb cba 
abababababba bbbbcbbbcbbccbccbbbcaca bbaabbb bca baabacbbc ab 
bbbbbbbbbb bbababbbababbaabaaa bbaaaaabba abbbbbbbaa abcabcabcabcaca bbaaaaabbaaabbbbbbabbaaaa 
aabcaab abababababa aabababaabbbabaababbaaabbb abcb abababababababababababbaa cccccccccccccccccccccc 
babaaaabbaa aaaaaaaaaaaccacccbbabbcbaab aaaaaaaaaaaaaaaaaaaaaaaa babbabababa bbabbaaaaaaaa baaaaaababababababbbbbbbaabb 
bababababababaab baba aaaaaaaaa bbaaabbaaabbbbaaabbaabbaa abbabaabababaabbababaaabb aaaaaaaaaaaa 
bbbbbbaabbbabaabaaaa bababbbab bb bababababababbbbbbbbbbbbbbab cccccccccccccccccccccccccc bbaaaaaaa 
cccba aaaaaaaaaaaaaccacaccaaaccccaa babababababbbbbabababababaa aaaaaaaabbaabbaabaaabba abbbbbbbbbbbbbbbbbbbbbb acb 
abababababababababababababb abcabcabcabacabada babbbbbbbbbbbbbbbbbb ababbbba aabaaabaabababbaab aaaaaabaacaaacb 
aabababbbbbbbbbbbbbbbbbbbb ababababababababa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa baaaaaaaaaa cccccccccccccccccc babab 
aaaaaaaaaaacccaabbabcccabb aaaaaaaaaaaaaaaaaaaaa baaabb bbbbbbbbbbbbbbbbbaca ababab aaaaaaaaaaaaaaaaaaaaaaaaaaaa 
aabbabbaaabbabbaaabba bab aabababababababbabbbbbbbb aaaaa aaaaaaaaaaaaaaaaaaaa abababa 
bbabb baaaaaaabaaabab baabbbbbbbbbbbbbbb adadadadadada bbaababbbbaba aaaaaaaaaaaaaaaaaababcbcccabb 
bbbbbbbbabbbbabbbba cccccccccccc abca bbba aababababa ababababbaa 
cccccabca abbd abcabcaad cccccccccc bbbabaababaaaa bbababbbbab 
bbbbbbbbbbbbbbbbbbbabbabaa bababab aababababababababb aabbaaaabbaaaababbbabbb abbbbbbbbbbb aabaaaabaab 
ababababababababababababababaa aabbabbabbaaabbbbab cccccbacbc bababbbbbbbbbbbbbbbbbb abbbbbbbbbbbbbbbbbbbbbbbbb ababb 
ababababababababbb abababb babababababb aaaaaaaaaabbaabababbaa babbbbbbbbbbaa aaababbbabab 
cabbacbacbcbbacccb aababababababababbbbbabababab abcabcada abcabcadadadadadadad cccccccccccccccccccccccccccc abcabcabcabcabcabcabca 
aaaaaaaaaaaaaaaaa abbbbbbbbbbbbbbbbbbbbbbba abada aaaaaaaaaaaabbaaa abcabcabcabcabcabcabcabad bbaabbbb 
bbbbbbbccbcbcbcbcc cccccccccacccaacccacacccaa aaabbaaaababbbaaaaabab ccccccccaaccbcc ababababaabbabb bbbbbbbbbbbabbabaabbabab 
babababababa aabbabbabbabababbaabbabbbaa abbabbabac a ababbabaababababbababbabab ababababb 
babbabbbbbbbbbbbbbb abaa abbaabbbbb bbab ccaabaaccb bbbbbbbbbbbbbbbbbbb 
bbabba baaabbbbaab aaaabbaaabbaaaaabbabbabbabba abbbbbbaaabbbba baa baaaaaaaaaaaaaaabbbbbbbb 
aabbabbaaaaaaabbaaabba ccc baaaaaaaaaaaaabbbbbbbba bbabbaaaaaaabbaaabbabba abaababaa bbabbaaabbabbabbabbaaaa 
baaabba baaabbbbbb aababaabbbabbabaabaaa abcabcabcabcabcabcabcaba b bbabcab 
babababababbabbbbabbbbbbbb aaabbaaabbabbbbaaabbbbbaaaba bbbbbbbbbbbcba abcabcabcabcabcacabababacabaca bbabbabbabbabbabbaaaaaaabba bbbbbbbcbbcbcbbccabcc 
abcabcabcabad ababbabaaaaaaabbabbab abcc aab bbababbbbabaaaaaababababab bbbbbbbbabbbbab 
abcabacacabacbcbb abbbbbb bbcaa ccaccccaacccaaccacac aaaaaaa bccbca 
baaaaaaabbbbbbbbbbbbbaaabb bbbbbbbbb ababababababababababbbbabb baaabbbb ababbbbabababbbbbbbaba ababababababababababababababab 
abcabcabcabc abababababababababababababa bababababababababababababa bba bbababbbbbbbabbbbbbbabbbbbbbb ccccba 
abcabcabcabcabcacacababacabaca bbbbbbbbbbbbbaa aaaababbbbaabbbabbabbbabbba aabababababbaabaababb aaaabbbbaaaabbbababbab abcabacababababacababadadadada 
aaaaaa bbaaaba abbbbbaabab bbaaabbaaaaabbaaabbaaa bbaa bbbbbbbbbbbbbbbbbbbbbbbb 
abcabcabcabcabadada aaabbbbbaaaababa abcabcabcabcaba ccccccccccb cccc bbbbbbbbbbbbbbbbbbbbbbbbbbbb 
abcabcabcabcabcabcabcada ababababababa bbbbbbbbbbbbbbabaabbb abcabcabcabcabcabcabcacabacabac bbbbbbbba abababababababababaab 
abcabcabcabcadadada baaaaaaaaaaaa babaa babaaaa aaaaaaaaaa aababbbbbbbbbb 
abababbba adad ababadadada abaabba aaaaaaaaaaaaaaaaaaaaaaaaa abbab 
ccbccca ababababababb abababababaaaaa cccaccabba baaaabbb baaaaaaaaaaaabbbbaaba 
abcababab ccccccccccccccccccc aaaaaaaaaaaaaaaaaaaaaaaaaaaaa ccccccccccccbccb bbababbbbbab aababa 
babbaaaaba ababababababab bbbbb abcac ababababababababababbabb bababbbbbbbbbbbab 
bbbbabbaaababaabbacacba aabaaaaaaaaaaaaaaaaaaaaaaa ababababa abcabcabcabcabcabca ababbbaab aaaaaaccaccaaaccacaccacbaa 
aaaaaaabbabbbaa abcadc aaaa bbbaabbbbaaabba bbabbaababbbaaabaaaaaaabb bababbaabbbaabcabcba 
abababababababababababb bbbbbbbbbbbbbbb abcacacabacacabacabaca abbabbbaaabbabaabaabbaa aababaaaababaaaaa cccccccccccccaccacaaca 
aabccba babbbbbbbbbbbbbbba bbbbbabababababa abcab ababababababababb aaaaaaaa 
bbabaaaab cab abcaba cccccacaaaaacccaaabaccba aaaaaaaacacaaccaaccbcaabc abababaab 
ababbabaababb bbbbccbcbbbbcbaabacacbc bababbabbabbaaaaaaabbaa aba bbbbbbbbbbbbbbbbbb bbaaabbaaabbabbab 
aaa aabbabbabbaaaaaaaaaaa abbbbbbbbbbbbbbbbbbb abcabcabcabca abbbbbbbbbbbbbbbbbbbbbbb ababababbbbbbb 
bbbbbbabaab aaaaaaaaaaaaaaaaaa bbbbbbbbbbaabaaabacb bbbbbb ccccccccccbbbccaaabb baaaaaabbbbaababbbaaabbbab 
baaaaaaaaaaaaaaaaaaaaaaaaaa bbbbbbbb abcabcabcabada bbbabaaa abbbbbbbbbbbb aaaaaaaaaaa 
bbbbabbaaba bbbbbbbbaaaaabcabc bbccabacc aaaaaaaaaaccabcbacbbb aa cccccbcbcc 
aaaaabbabbaaaaaaaaabbaaaaaa aaaaaaaaaaaaaa aabbaaabbbbabaaabbaaabbbbaaab abababababababa abaabbaaaaabaa bbb 
aaabab abcabcabadaa abbaaabbbab bbbbbbbbbbbbbbbbbbbbbbbbbbb abadab aaaaacaaaacbbccbc 
