bbbbbbbbbbbbbbbbbbbbbb ababababababababb bbabccaabaabcbc bbbbbbbbbbbbbb abcabcabcabcabcabcabca aabbababaa 
ccccccc ccbd aaaaababbca cacccaccacccbbbbbbcbaa cccccc bbbbbbc 
bbbbbabab aaaababac aaaaaaaaaaa abbaadabcabbaaadab baaaaabbbbbbbaaaab abbbbaabbbbabbbbaaaabbabbaaaab 
bbbbbbbabaaaabaaabbaababbaa abbdacabdabbaacabbbabbaab abababababababababababa bcbccabc aaaaabbaababccbbabbbbbcabba abcabcabcacacababa 
bbbabbabbbbabaaaabaaaab ccccccbbbcbcccbccbccbbbacb aaaabbaabbbbaabababbabababab cbddcb ababababb bababababab 
bbbbba abcabbcadacabbadabbaac abbbbbbbbbbbbbbbb ac aabbaaabbabbaaabbabbaaabba babcbaababbb 
aaaaaaaaaaaaaaaaa baaaaaaaaaaaaaaaabbba babaaaab bbabababbababababababb aabc adaa 
abaa ababaabbaaababababbababababb abbbbbbbbbbbbbbaaaaababbabab ccccccccccccccccccaccaccaca bbbabaaaaaaacbcabaaca aababbbbbbbb 
aaaaaaaaaaaaaaaaaaaaaa aaaaaababca aabbaaabbaaabbabbaaaaabba babababababbbaaabaaabbabaabab abcacaba bbbbbbbbbbbb 
bbccccbccaaaacbabbacaabbbbba acaabbc bbbcccbbccccccccccca ababbabaaaabbb aabababababababababa aabbbbabbaaabbaaabbabbababaa 
aababa abababababababababababababab bbbbbbbbbaaabbabaaba baaaaaaaaaaabbbbb bbaaabbbababbabbbbabbabbab aaaaaaaaaaaaaaabbbaccbc 
ababababa aaaaaaaababb abbbbbbb cccccccc abbbbbbbbbbbbbbbbbbbbbbba aacabbcbb 
bbbbbbbbbbaabbaabbbabbbabba cabbdab aaabaaaaaa bbababaaaaaaabbabbbbbbabbabb bababbbbabbaaabbb aaaababcbbacaccccaaccbbaaabc 
abbbb aaaaaaaabbabbabbaba abbadabbabbdabbaa ccccaaacccaaaacccaacb abbabbabbabbababb abaaabab 
aabbbbbabaabbaaabbab aabbbbacac cbbaabbcaccbcabbabbab abcabcabcabcabcababa cc abbbbbbbbbbbbbbbbbbbb 
aabbabbbbbbaaababbbbbb bbbccccbabaabbbcacbabccaccbbc abbacabbabbaacabbaab aaabab aabbabbaaaabbab ababb 
bbbbaaaaaabbbbabab cccccccccccccccccbabbcbbaac aaaaaccaccaaaaa baaaaaabb aabababababababb cccccccccccccccccccccccccc 
bbb abbabbbaabcbcbabc aaaaaaaaaaaaaaaaaaddddcccdb aabbbaaabbabababaabaaabbaabb bbba abcabcabcacabababadadadabd 
abbbbbbbbbbbbb abababababb bcbabcbbcbcaacbac ababababababababbb ababaababbbaab ababbaaa 
bbababababaaababbabababababaaa abbdabbadab bbbbbbbbbbbbbbcacbcbbcbaccba aaaaaaaaaaaaacaaccabbaccca baaaaaaaaaaaaaaaaabbbbbbbb babababa 
baaaabbbbb abbabcabcbcaababbaaaabcac bababab aaccacccbbaaccacccbabbcabcaa baaaa ccabbac 
abcabcabcabcabcadad aaaaaa abcabcabcabcabcabcabcabcababd abcabcabcabcabacadbc babababababababababbbbb abbdabbcabca 
ababababababababababababaa bbabbaaaa abbaaaaaaaaaababaaabbaaababaa bbbbbbbbbbacbbbcabac aabababbbbbba bbabbbbabbbbabbbbababbbbbbbb 
bbbbbbbbbbbbbbbbbbabbbabbb abcabcabcabcada bbaab abcabcabcabcaba bbbbbbbbbbbbbbbbbbbbbbbb babbabaabbaaababab 
ababababababab bbbbbcbaaabb acadab bbababbbaaaaabaabbbbbb abcabcabcabcabcabcabdd aabaaababbaaaaaa 
aabbbaba bbaabccaab ccccccccccccccccccccccc baaaaaaaaaaaaaaaaaabb ababdabbabdabcabbabb bbbbbbbbbbbbbbabbabbbbb 
aabbaababaabbbabaaabaaababbb aaabbbb bbbaddcabcabcbbabaaa aaaaaaaaaaaaaaaaaaaaabaacbcb aaabbab bbabbabbabbaaabbabbaaaaaaaaab 
abcabcabcabcaca ccccccccccbabacbca abbbbbbbbbb abbbbbbbbbbbbbbbbbba abababbaa abababababababababaa 
abcabcabcabcacacaca abba ababaab bbbbbbbbbbbbbbbbbbbbbbbbbbbbb aabababababbbab babababababbbbb 
abbadabbaadabbaacbab aaaaaaaaaaaaaaaaaaaaaaaaaa cbabbccccbbccba ababababbbb caba bbbbbccccacbbbba 
bbbbbaaabbabbbbab ababababababababaabbaababaabbb abbbbabaabbabbbabaabaab ababadac aabbbbbabbbbb aaaaabaabccccccbcccbbcbaaa 
caaabbbabaacbabbb babbbbbab abcadaa abbabbaaabbacadabba abcabca acabac 
aab abbba aaaaaccacbaabaa babbbab abbbbbbbbbbbbbbbbbbbbbbbaabb acabbdabbb 
ababababababa abbdadaabbabbabbaa caccbccac abbbbbbbbbbbbbbbbbbbbbbbbbbb aaababababab acaca 
abababababababaabbbaababb bbabbabbabbaaa bbbbbbbb bbbbbbbbbbbbbbbbbbcccbbcbbaab acacababacabacaca abcabcabcabcabcabcabacacaba 
bbbbbbbbabb aabbaaabbbbb abbaaabdabbaadabbbabbaab babbbbaab abcabcabcabcabcabcabcabada bbbbb 
aaab abcadadadadadadadadadb cbabacc bbbbcbcabcccaacc baaaaaaaaaaaaaaaaabbbbbbba bbabbabba 
abcabcabcabacadada bbbbbbb abbadabbadabbaacacabbaad ccacccccacaaaacbccabacabaaca ababaabbbaababa bbaaabbabbabbaaa 
aabbababba ccccccccccccccbcccbbaaaccabab aaaaabbaaabaabaaaababacabbbb abcabcabcabcacababacadc abbcaacabbaaababdabbcabbadabb bababababababababababa 
abaababbaabbbabababb baaaaababaabbbabbababbaa aaaaaaaaaaaaaaaaaaa bababababb baaaaabbbbb aabbbbbbbbbbbbbbbbbba 
baaaaaaaaaaaaa bbab abbbbabbbbb dabbaaabbcabbaaabbacabbabcabba bababbabaaaababaaa abcbccaacccaccaabaababab 
aaabbabbcbccb ababababababaaba bbbbbbbbbbbbbbbbbbbbb ccccccccca aaaabaaa baaaaaaaaaaabbbbbbbbb 
aabababbabbbbbbbbbbbbbabbbbab baaabababbabaabababbbbba bbbaaaaabbaabbbababbbbaabba ababababababababbba aabababababa baababbbbaaaba 
cccccccccccccccc bbbbbbbbbbbbbbbbcdabbadcd bbababbbab baaaaaaabbbbbbbb abbabbab bbbbbabaabababaaaba 
baaaaaaaabbbbbbbbb ccccccccaccaaaccccaacabab baaab abcabcabcabcab bbbbcba aabab 
abaababba caaacaccaaacacbaba abababababababababababababa baaaaaaaaaaaabbbbbbbbbbbb bbabbbbbabbbbabaababba bababababababababababababab 
ababab bbbbbbbbbbbbbbbbbbbbbbbbbbb aaaaaaaa baabbbbbbbbbbbbbbbbbbbbaaabab aababbabbbbbbb cccccccccccbbcccc 
bbbaababaaabababab cccccccccccbbbccbbcbbbb aaaaaaaaaabbabbaaaaa abbacabbdabbaacabbaa bbbbbba aaaaaaaaaaaaaaaaaa 
abbbbbbbbbbbbaaba bbbbbbbbbbbadddaada aaaaaaaaabaaaaaaaaaaababbbb bbbbabbabbbab aaabbaabbcababbcbcbbaa cabca 
ccbaaa aabbbababaaaaabbababababb bababababababababbbbbbbbababa abababababababa bbbbbbbbbbbbbbbacaabcb cccccccccccccccccccc 
aababbbabaababababbababaaaa baaaaaaaaabbbbbbbbba ccccccccccccccccccccccccab accbabbbaabbcaacabbabccbc aaaaaaaaaaaaaaaaaabbbbc abcabc 
abbbabbaaababbaca baababb cccccccccccccccccb bbbbbbbbbbbbbbbbbcc acabaccbbbbba bbbbbbbbbbbbbbbbbb 
abbb ababababababababbbaa cacbbbacabacbabc aababababababbbaa ababbbababab cccbbbcbbcbccabbcabab 
abcababccacbbcacbbacccbca aaaaabbabbbbaabbb bbabababababbaba baccaacbcbbccbbbc abaaaaaaaaaaaaabb aaaaaaaaaaaaabaaaacac 
bbbbbabbbbabbba bbbbbbbbbaaaaaaccabcbac abababababbb baaaaaaaaaaaaaba aaaaaaaaaaaaa babababababababababababababa 
cccc aaaaaaaaaabbaaaaaaaaaaaaabba babbbbabbbbbaababaa cabbabdb bbbccbbcccccbcccbccbbcbc babababababababb 
aabba abcabcabcabcabcababacaca bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb aaaaaaaabaabababc abbbbbbbabbbb aaacbccacbbcbb 
abcabcabcabcabcabcabcabcabcadd ccaccccacaacccabaaac abbdabbacabba aaabbabaababbaaabbbbabbbbb bbaba baaaaaaaaaaaaab 
baaabbbbbbbbbbbbbbbbbbbbbbbbb aababb aaaaaaaabbabbaaabbabba baba aabbabba abbbbbbbb 
ccc abbbbbbbbba cbcccabaabcbcbcaccbccb ccbdbccdab cab acb 
bbabbbbb bbabbaaaba ababababababaaaababbbabbbabba aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa abbdadaabaababbdabbabbaaabb ababababababababababaababaaa 
abcabcabcabcabacababacaca abcada bbbbaabb acabbaaabbabbcabbabbbabb abbaaabbaaabbadabbca bbaaababbbabb 
abbadabdabb bbbababa abbbba ababaabababababababab babbbbbbbbba ababababababbbbabaabbabbbaabab 
cbcbbcacaba bbbbbbbbbbbbbbbbbbbbbbbbbb baabbbbbbbbbbbbbbbbbbbbbb abbbbbbbbb aaccacbcbabccb bbababaaabbabbabbabb 
bbbbbbbbbbbcaaacccc cbcbccbbbbbcccbcbbbbbcbbcaa babababababababababababab bbbbbbbbb bbabbabbaaabbaaabba baabababba 
abababb abbbbbbbbbbbbbbbbbbbbbbbbaaa abbabbaadabbcababbaaabab cbcbbacaababacbabbccab aababababaababaabaabbaababaa abbcabbbabbaacabb 
bbababbbbbabbb baaaaaaabbbbbabaabbb babaaababaabaaaabaaaba baaaaaabbbbbababbababaaabab aaaaccacaaacaaaa bbbabaaab 
abababaaabaaaaababab bbbbcbcbccbbbccbcacaacbbaaab ccaacaabbacbbabcbacccacabcbac abbaacabbadabbadabbab bbbbbbbbbbbbbbbbb ababababaabbab 
aaaabbaa ccccabba abcabcababac aabababababb bcdbd bbbbbbababbbb 
aabbaaabbabbbbbbaaabbbbbbabbb ccccccccabccbaccbbaab abdabbaaabb ccccabac abaaaaaaaaaaaaa abbabbaadabbaa 
bbbbbbbbbbbbbbbbbbbbbbbbbbbb aabbabbabbaaaaaaabbabbaaaaa aaaaaaaababababababbbaa abaabbabbbaabbbababbabbaaba caabacac abbaab 
bbbbbabbbb ccccccccccccccccccccccccc baabbbbbbbbbbbba abbaaab babababababababababababbab ababababaaaaabababba 
ccccccccbccab babababb bbbbbbbbbbbbbbbbbbbbbbbbdcad ccabaaaabbcbcbccccaaaacaa bbbbbbbbbaacaacc bcab 
aabbababa aaaaaabbabbabbbbabbabbbbabbabbb abccbbabcab bbbcbbbccabccabaaababbccbcaa abbbaabb abcabcabcabcabcabcabcabcaba 
babaaabababbbabababababababa aabbbab bbbbbbbbbbbbbbabbab abcabcabcabcabcacabacacabaca bbaaabaaa acbabbbadabbcdabbdabbaac 
abbbbbbbbbbbbbbbbbbbbbbabbaa baaaaaaaaaaaaaaaaaaabb ababababbbbbabbabbbbbabaaaa bbbbabbab ababababababababababaaababa abababaabb 
bbbbaaabbabbabbabbbbaaaabaabab abbdababbabbaaabbacadababba aaccaaaacab abbabaabaaa bccaaca bbabbaaabbabbaaaaabbaaa 
aaaaaaaaaaaaaaaaaaaaa bbaaaaabbaaabbaaabbabbabbaaaaa aaaaaaaabaaaaa baaaaaaaaaaaaaaaaabbbb bccbcacbbbccbcbcbaccaaabba ababbababababbababbabababaabab 
cbbbcbcbbcaccbcbaaccb babaabbba abcabcabcabcabcabcababc aabaabbbbaabbabba bbbbbbbbbbbbbbbccbccbbbccbc acababacadadaab 
acdbdab abcabcabcabca baabbbbbbbbababaaaaab bba abaaaaab bbbbbcbcccbccbaacaabcbba 
bbaabbbbbbb aaabbaabbb abbaaababdabbaadbabbaadab aaaacaccacaabbccacc ccccccccccccccccccccc abababababababababa 
abcabcabdabbbabbadabbaabd abcabcabcadada aaaaaaaaaaaaaaaabbabba abbbbaaababbbabbabbbabbabb bcbbcbbabab aababbbbbbbbababbbbbbbb 
baaaaaaaaaaabbb baaaaaaaaaaabbbba aabbbbab abbabbabbbbaab bbaababab aaaaac 
aabbbabbaabbaababbbb bbbbbabba abaaabbb bbbbbbbbbbbbbbbbbbbbbbb babababbb abcabcabacacacadada 
bbbbbbbbbb bbabbabbabbaaaaaaaaaaaaaaabba bababababbbbbabbbbbbbabababab acabba baabc abbbbbbbbbbbbbbbbbb 
baabaabababbbabbabbbbbaaaaaa ababaa bbaaabbabbbbbbabababb bbbbbbbbbbbbb abcabcabcabaca bbbbbbbbbbbbbbbbaaaabbaaa 
aaaaaaaabaaaaaaaaaaa ccccccccaacbabac abbbbbbbbbbbabaa abbbbbbbbbbbbbbbbbbba aabababbbbbaa aaaaaaaaaaaa 
abababababababababababb abcabcabcabcabcabcabcabcabca aaabbabaabbbaaaabbaabbabbbaaa bbbbbbbbbbbbbbbb ababababaababbbbba bcaaaabac 
abcabcabababacacacabacabadadada abbadabbaaabbadbcabdabbaaa b aaaaaaaaaaaaaaa aababcc abbcabbbabbaaccadabbcabbcabb 
bbbbbbbbabbaaab ababababababababababa aaaaaaa abbdabcabbacabbaadabbaa cccccccbccbcbccccbbcacbacc bbbbbbbbbbbbbbbbbbbbbbbbbbbba 
abdabbdabba bbbbababbbbabababaaabababbbaba bbcacbabbacbac abcabcabcabcabcabcabababb bbbbbbbbbbbbbbbbbadacadb bababaabaabaaba 
abbbbbbbabb abbbbbaabbaaaaaaaaaaabbabba abbcbbbabbbcbcbbcba acac bbaaaaaaababab ababaaaaa 
bbbab aabaaaaabbabbabbababaabbab cccbcbcbcbc abcabcabcadadadadadadada abccbbc bbaaabbabbaaabba 
aaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaababaacaa babbbbaaaaabbaaaabaabaaaabbba babbb ababbbcabbaacccc aabcac 
abcac bbabbabbaaaaaaabba ababbbabababababab aababababbababbbbbbbbbbabbbb dabbdabbacabbdabbbabdcabbac aaaabbaaaaabba 
abbbbbbaaaababaaababba abcababacabadadadadadada abdbadbad ccccccccccccccccccccccccccc abbbbabbabbbbb aa 
aaaaaaaaa adabbcdabbbabc bbbbbbbbbbbbbbbabbcccacbcbbc abcabcabcabcacacababacababaca ab bbbbbbbbbbb 
bbabbab ababababababababbabaabbaab bccacbcbbcccbadb ababaabb bbbbbbbbbbbbbbbbbbb ccccccccccccc 
aaaaaabbaaaaabbaaabbabba bbccacaaabbcbaabcabbaba bbbbbbbbabababbb aababababaababbabaaaabababab cba bababababababababababababababa 
abbbbb bbaaaaaaaaabbabbaaaaabbabba ababababababababababababab abbacdabbccad babababababababa abbadabbbabba 
ababba aaaaaaaaaaaaaaaac babacaabaccaaacabaababc abababababababababababab aaaaaccabaaabcbbacaabcbb babbcccba 
abbcab abbbbbbbbbbbbbbbbbbbbbb acabbabbda ccccccccccccccccccc aabbabbbbbbbbbbbbbabbbba abababababababababababaab 
cccccccccccbcbbcbbbcaccbaabac cbbcbcac abbabb ababababababababababab ababbaababa abababababababababababababaa 
aabababababababababababb abbaacabbabbaaabbabbbabbaadab aaabbabbbaaa abbaaabbacabbcabbabbabb abcabcabcabcabcabcabda bbaccbcbcabbbacbbaaab 
bb ababbbb adabbacacabbaacabbcabbaac aaaaaaaaaaaaaaaaaaaacc aaaa caaaccabcbb 
aaaaaaaaaaabddcdadba bababababababbabbbbababbbbb baaaabababababbaababaabb aabbababbbbabbbbbbaabbb abbcabb abcabcabcabcabacadadadadaa 
bbaaaa cccba acadadadadadadadadadab bbabbbbabbbbbbbbbbbbbaba ababababababababa ababababbabababababaabab 
aabbaaabaabbbbbaaaab abcabcabcabcabcacababababacaba cccccccacbaaaacbc abababababaabbbabaabab acacadb bababababababababababababb 
abbbbbbbbbbbbabaabbabbbbabab bbbbac cbacbbbccbbbaaaccbcbabacaacbc bcaacbcacbaac aaaaaaaaaaaaaaaaaaaaaaaaa bbbacb 
abcaacacbcaaa abababababbabbaabbaaaabaaa ababababababababababababababaa abcabcabcabcabcaba abbcabcabbaadabbcac babaababbbaabb 
bababababababa bbababababababbabababa bccabacccbcacccb aaaaaabba abcabcabcaa aaaaaaaaaaaaaaaaaaaaaaabbcb 
bbbbbbbbbbbbbbbbbbbb abbbbbbbaabababbaaaa abbaaabbcacabbcabbaacabbaa bbabbabbbbabbaaababaaaaabbab abbbab bbbbbbbbbbbabaaaa 
cccccccccccccccccccccc ababababababbbabababaa abbbbbbbbbbbbbbbbbbbbb baaaaaabbbbb ccccccccc ababababababababababbb 
acbccab accdcadbdccd aaaabcabcbbabaacbc ababababababababababababa abab bcbcbcaabcbbcc 
bacccaaabacbbaac aabbabbabbbbabbbbbbbbabbbbb bbaaaaa abcabcabcabcabcacabadbd aabbababbbbab bca 
abbcabbabbaab abaabbaaa baababbcacbbba ababa ababababab aaaaabababbaabbaaababb 
a babababababab bbabbaaccbbacaaccabcbabbba bbbbbbbbbbbbbaa aabcccbbbaacbaaaccbaacba ccccccccbcaabbcccbcaaba 
babaaabbababaa adabdabbaacabbbb bababa abada abababababababab aaaabababbc 
bbbbbabbbbbbbbbb abbadacabdabbaadabbbabbdabd babaa abaaaabaaaaabba bbabbaaabbabbaaa abcabbacabbdabcadcabbaad 
aaaaaaaaaaaaaaaaaaaaaaaaac c abcabcabca ccccccacaacccbbaabbaaab abdabcabcababcbabcab aaaaabbbaaabacbabbbcbbcaa 
abcabcabcabb bbaabb aabaaaabaaba acabcababbbccc abbbbbbbbbbbbbbb abbcabbaadab 
abbbbbaaaabbb baaaabbbbbbbbbbbbbbbbbbbbb aaaaaaaaaaaaaaaaaaaaaaaa adabbbacab ccbbcbaacbbccaccbacaa bababbaabbaabababbaaabaabbaabab 
